date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2016-07-1,CLE @ TOR,B14,Gibbons,Pillar,Out at 1st,Force Play,Reyburn,Hirschbeck,Overturned,0:53,https://t.co/7qJLzuEYKE,
2016-07-1,CIN @ WSH,B4,UMPIRE,Harper,In play; single,Potential HR,Ad. Johnson,Cederstrom,Stands,2:04,https://t.co/088lRPgxHx,
2016-07-1,KC @ PHI,B3,Mackanin,Asche,Out at 1st,Tag Play,Bellino,Hallion,Overturned,1:27,https://t.co/KtfC1PzkiB,
2016-07-1,CIN @ WSH,B7,Price,C. Robinson,Fair ball; Double,Fair/foul,De Jesus,Cederstrom,Confirmed,1:27,https://t.co/1bCSND8ZMG,
2016-07-1,MIA @ ATL,B5,Snitker,Inciarte,Out at 1st,Force Play,Guccione,Vanover,Overturned,2:57,https://t.co/DyoVTkaq9g,
2016-07-1,CIN @ WSH,T9,UMPIRE,Suarez,Out at 1st,Force Play,Cooper,Cederstrom,Confirmed,1:05,https://t.co/RroPoZW2k2,
2016-07-1,COL @ LAD,B4,Weiss,T. Thompson,Safe at 1st,Force Play,Wolf,Hernandez,Overturned,2:16,https://t.co/CMmdXZ70AJ,
2016-07-1,LAA @ BOS,T9,Scioscia,Nava,Ground-rule 2B,Fan Interference,Nauert,Nauert,Stands,2:37,https://t.co/8OCUepq6tO,
2016-07-2,TEX @ MIN,B1,Banister,Kepler,Safe at 2nd,Force Play,Scott,Scott,Overturned,1:05,https://t.co/InDdLIWnlT,
2016-07-2,CLE @ TOR,B8,Gibbons,Carrera,Out at HP; no violation,Tag Play,Reyburn,Hirschbeck,Overturned,3:35,https://t.co/hPoL8aizS4,
2016-07-2,CLE @ TOR,T9,Gibbons,R. Davis,Safe at 2nd,Tag Play,B. Welke,Hirschbeck,Stands,1:38,https://t.co/T9i3DsndtY,
2016-07-2,MIL @ STL,T3,Matheny,Braun,Safe at 1st,Force Play,Kulpa,Meals,Overturned,1:18,https://t.co/3vrdn942Df,
2016-07-2,MIL @ STL,B5,Matheny,Moss,Out at 2nd,Force Play,Conroy,Meals,Confirmed,2:13,http://atmlb.com/29xwygA,
2016-07-2,MIA @ ATL,B6,Snitker,C. d'Arnaud,Out at 1st,Force Play,Marquez,Vanover,Stands,2:00,https://t.co/7N3XjR12KF,
2016-07-2,CWS @ HOU,T8,Hinch,Shuck,Safe at 3rd,Tag Play,Everitt,Everitt,Stands,2:41,https://t.co/XVL4Gjr0wl,
2016-07-2,LAA @ BOS,B1,Scioscia,Betts,Triple; fan interference,Runner Placement,Porter,Nauert,Overturned,3:52,https://t.co/xjWKDqNJNI,
2016-07-2,KC @ PHI,B5,Yost,Bourjos,Safe at 1st,Force Play,Basner,Hallion,Overturned,0:46,https://t.co/ZR53Jm3CfX,
2016-07-2,LAA @ BOS,T5,Farrell,Pujols,Safe at 1st,Force Play,Wegner,Nauert,Stands,2:34,https://t.co/UthI0j2S2S,
2016-07-2,BAL @ SEA,B2,Servais,O'Malley,Out at 2nd,Tag Play,Morales,Winters,Overturned,2:29,https://t.co/KOu54CQD9U,
2016-07-2,NYY @ SD,T5,Girardi,Au. Romine,Out at 1st,Force Play,Wolcott,Carlson,Overturned,4:21,http://atmlb.com/29mEe6I,
2016-07-2,SF @ ARI,B4,UMPIRE,Herrmann,In play; double,Potential HR,Randazzo,Miller,Confirmed,2:23,https://t.co/j5eudWA4Ty,
2016-07-2,NYY @ SD,B6,Girardi,Jankowski,Safe at 2nd,Tag Play,Carlson,Carlson,Overturned,2:33,https://t.co/9eBilwllsz,
2016-07-2,NYY @ SD,B6,Green,Kemp,Out at HP; no violation,Tag Play,Hoberg,Carlson,Stands,3:27,https://t.co/6a3pgcXp6f,
2016-07-2,PIT @ OAK,T9,Hurdle,Harrison,Out at 1st,Force Play,Holbrook,Davis,Confirmed,1:56,https://t.co/O8FCu4yXxf,
2016-07-2,PIT @ OAK,T10,UMPIRE,Freese,Out at home,Tag Play,Drake,Davis,Stands,3:46,https://t.co/7GcdiCi09z,
2016-07-3,KC @ PHI,B4,Yost,R. Howard,Safe at 3rd,Tag Play,Bellino,Hallion,Overturned,2:32,https://t.co/nINrSqF2hy,
2016-07-3,TEX @ MIN,B5,Molitor,Rosario,Out at 1st,Force Play,Scott,Scott,Overturned,0:59,https://t.co/dymTsN2QO4,
2016-07-3,LAA @ BOS,T7,Scioscia,Simmons,Foul ball,Fair/foul,Nauert,Nauert,Overturned,2:37,https://t.co/a9a3riWAT2,
2016-07-3,PIT @ OAK,T4,Melvin,S. Marte,Safe at 1st,Force Play,Davis,Davis,Overturned,1:03,https://t.co/RoOYtMvHtI,
