date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2017-05-18,BOS @ OAK,B3,Farrell,R. Davis,Safe at 3rd,Tag Play,Muchlinski,Winters,Overturned,2:25,https://t.co/8J091EWooF,
2017-05-19,TOR @ BAL,B2,Showalter,J. Schoop,Out at 1st,Force Play,Woodring,Meals,Overturned,1:07,https://t.co/Tc4IeZxPCQ,
2017-05-19,NYY @ TB,T4,Cash,D. Gregorius,Safe at 1st,Force Play,Barry,Emmel,Overturned,0:38,https://t.co/FBOlhExvC6,
2017-05-19,TEX @ DET,T7,Banister,D. DeShields,Out at 2nd,Tag Play,Baker,Everitt,Stands,1:50,https://t.co/fs8GUG0YmT,
2017-05-19,TOR @ BAL,T7,Showalter,J. Smoak,Strike; No HBP,HBP,Meals,Meals,Overturned,0:38,https://t.co/UR2Gjvm8rb,
2017-05-19,CWS @ SEA,T3,Servais,Y. Sanchez,Safe at 2nd,Tag Play,Davis,Davis,Overturned,1:10,https://t.co/ywLbZ6bxpU,
2017-05-19,BOS @ OAK,T7,Farrell,M. Betts,Out at 2nd,Tag Play,Muchlinski,Winters,Stands,1:59,https://t.co/JdTtjJok6P,
2017-05-19,SF @ STL,B9,Matheny,D. Fowler,Out at 1st,Force Play,Carapazza,Hallion,Confirmed,0:53,https://t.co/o0wyf6Suep,
2017-05-20,BOS @ OAK,T2,Melvin,C. Young,Safe at 2nd,Tag Play,Foster,Winters,Stands,2:07,https://t.co/cs3Tdo8SE9,
2017-05-20,CLE @ HOU,B6,Francona,J. Reddick,Safe at 2nd,Tag Play,West,West,Overturned,1:44,https://t.co/xyFREFcev3,
2017-05-20,COL @ CIN,T5,Price,N. Arenado,Safe at 3rd,Tag Play,Holbrook,Holbrook,Overturned,1:45,https://t.co/PEy45gJonU,
2017-05-20,PHI @ PIT,B8,Hurdle,A. Frazier,Out at 2nd,Force Play,Bucknor,Culbreth,Overturned,1:29,https://t.co/kxEir1xXHB,
2017-05-20,BOS @ OAK,T9,UMPIRE,A. Benintendi,Foul ball,Potential HR,Muchlinski,Winters,Stands,1:14,https://t.co/xRtFt8sNH5,
2017-05-20,TOR @ BAL,T1,Gibbons,E. Carrera,Out at 2nd,Force Play,Hickox,Meals,Overturned,2:12,https://t.co/fZ4II81QQy,
2017-05-20,TOR @ BAL,T3,Gibbons,R. Goins,Out at 1st,Force Play,Kulpa,Meals,Overturned,0:52,https://t.co/KiVUTwvrcQ,
2017-05-21,COL @ CIN,B6,UMPIRE,J. Peraza,In play; Triple,Potential HR,Holbrook,Holbrook,Confirmed,1:10,https://t.co/pQDjjpuRNz,
2017-05-21,LAA @ NYM,T7,Collins,D. Espinosa,Safe at 2nd,Tag Play,Cuzzi,Cederstrom,Overturned,1:38,https://t.co/00pbwG91Nd,
