date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2014-07-8,SF @ OAK,T4,Bochy,Sandoval,Out at 1st,Force play,Ripperger,Hernandez,Stands,1:03,http://t.co/tZsf2rD4xR
2014-07-8,TOR @ LAA,B7,Gibbons,Aybar,Safe at 1st,Force play,Wolf,Gorman,Confirmed,1:29,http://atmlb.com/1syAJKq
2014-07-9,TOR @ LAA,T1,UMPIRE,Reyes,7.13/Out at home,7.13,Wolf,Gorman,Stands,1:59,http://t.co/u1FgCuZbXo
2014-07-9,SD @ COL,T4,Weiss,Grandal,Safe at 2nd,Tag Play,Kulpa,Kulpa,Overturned,1:34,http://t.co/ktbWlD8yKZ
2014-07-9,SD @ COL,T4,Weiss,Amarista,Safe at 1st,Force play,L. Barrett,Kulpa,Stands,2:20,http://t.co/3b6UTfHJ2W
2014-07-9,TOR @ LAA,T3,Scioscia,Me. Cabrera,Safe at 1st,Force play,Gorman,Gorman,Overturned,1:02,http://t.co/fDPClBLKus
2014-07-9,TOR @ LAA,B3,UMPIRE,Trout,7.13/Out at home,7.13,Wolf,Gorman,Confirmed,1:29,http://t.co/EGo3URduvj
2014-07-9,SD @ COL,T5,UMPIRE,Grandal,Foul Ball,Fair/foul,L. Barrett,Kulpa,Stands,1:54,http://t.co/u7RHRZREAz
2014-07-9,TOR @ LAA,B7,Gibbons,Trout,Safe at 1st,Force play,Gorman,Gorman,Confirmed,0:39,http://t.co/vhdIP9I0K1
2014-07-9,ATL @ NYM,T1,Collins,B.J. Upton,Safe at 2nd,Tag play,Tichenor,Everitt,Overturned,1:02,http://t.co/avRTvrT0sE
2014-07-9,PIT @ STL,B1,Matheny,M. Adams,Out at 3rd,Tag play,Porter,West,Confirmed,1:06,http://atmlb.com/1s5c3M1
2014-07-9,CHI @ CIN,T8,Hyde (Renteria),S. Castro,Out at 1st,Force play,Muchlinski,Winters,Stands,1:35,http://t.co/7tccFMFMKE
2014-07-9,HOU @ TEX,T6,Washington,Corporan,Fair Ball,Fair/foul,Carapazza,Miller,Confirmed,0:41,http://atmlb.com/1sIUpep
